description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Avatar of Griswold	1				100					1	tal,							Avatar of Griswold																																																																																							0
Avatar of Smith	1				100					1	flg,							Avatar of Smith																																																																																							0
Avatar of Radament	1				100					1	fng,							Avatar of Radament																																																																																							0
Avatar of Summoner	1				100					1	qll,							Avatar of Summoner																																																																																							0
Avatar of Council Member	1				100					1	spe,							Avatar of Council Member																																																																																							0
Avatar of Izual	1				100					1	hrb,							Avatar of Izual																																																																																							0
Avatar of Nihlathak	1				100					2	hrt	hrt						Avatar of Nihlathak																																																																																							0
Avatar of Tyrael	1				100					2	hrt	brz						Avatar of Tyrael																																																																																							0
Avatar of Izual Ghost	1				100					2	hrt	jaw						Avatar of Izual Ghost																																																																																							0
Avatar of Amazon	1				100					2	hrt	eyz						Avatar of Amazon																																																																																							0
Avatar of Sorceress	1				100					2	hrt	hrn						Avatar of Sorceress																																																																																							0
Avatar of Necromancer	1				100					2	hrt	tal						Avatar of Necromancer																																																																																							0
Avatar of Paladin	1				100					2	hrt	flg						Avatar of Paladin																																																																																							0
Avatar of Barbarian	1				100					2	hrt	fng						Avatar of Barbarian																																																																																							0
Avatar of Druid	1				100					2	hrt	qll						Avatar of Druid																																																																																							0
Avatar of Assasin	1				100					2	hrt	spe						Avatar of Assasin																																																																																							0
Avatar of Rogue	1				100					2	hrt	hrb						Avatar of Rogue																																																																																							0
Avatar of Desert Merc	1				100					2	brz	brz						Avatar of Desert Merc																																																																																							0
Avatar of Iron Wolf	1				100					2	brz	jaw						Avatar of Iron Wolf																																																																																							0
Avatar of Barb Merc 1H	1				100					2	brz	eyz						Avatar of Barb Merc 1H																																																																																							0
Avatar of Barb Merc 2H	1				100					2	brz	hrn						Avatar of Barb Merc 2H																																																																																							0
Avatar of Talic	1				100					2	brz	tal						Avatar of Talic																																																																																							0
Avatar of Madawc	1				100					2	brz	flg						Avatar of Madawc																																																																																							0
Avatar of Korlic	1				100					2	brz	fng						Avatar of Korlic																																																																																							0
Avatar of Cain 1	1				100					2	brz	qll						Avatar of Cain 1																																																																																							0
Avatar of Cain 2	1				100					2	brz	spe						Avatar of Cain 2																																																																																							0
Avatar of Gheed	1				100					2	brz	hrb						Avatar of Gheed																																																																																							0
Avatar of Akara	1				100					2	jaw	jaw						Avatar of Akara																																																																																							0
Avatar of Kashya	1				100					2	jaw	eyz						Avatar of Kashya																																																																																							0
Avatar of Charsi	1				100					2	jaw	hrn						Avatar of Charsi																																																																																							0
Avatar of Warriv 1	1				100					2	jaw	tal						Avatar of Warriv 1																																																																																							0
Avatar of Warriv 2	1				100					2	jaw	flg						Avatar of Warriv 2																																																																																							0
Avatar of Atma	1				100					2	jaw	fng						Avatar of Atma																																																																																							0
Avatar of Drognan	1				100					2	jaw	qll						Avatar of Drognan																																																																																							0
Avatar of Fara	1				100					2	jaw	spe						Avatar of Fara																																																																																							0
Avatar of Greiz	1				100					2	jaw	hrb						Avatar of Greiz																																																																																							0
Avatar of Elzix	1				100					2	eyz	eyz						Avatar of Elzix																																																																																							0
Avatar of Geglash	1				100					2	eyz	hrn						Avatar of Geglash																																																																																							0
Avatar of Jerhyn	1				100					2	eyz	tal						Avatar of Jerhyn																																																																																							0
Avatar of Lysander	1				100					2	eyz	flg						Avatar of Lysander																																																																																							0
Avatar of Meshif	1				100					2	eyz	fng						Avatar of Meshif																																																																																							0
Avatar of Asheara	1				100					2	eyz	qll						Avatar of Asheara																																																																																							0
Avatar of Hratli	1				100					2	eyz	spe						Avatar of Hratli																																																																																							0
Avatar of Alkor	1				100					2	eyz	hrb						Avatar of Alkor																																																																																							0
Avatar of Ormus	1				100					2	hrn	hrn						Avatar of Ormus																																																																																							0
Avatar of Halbu	1				100					2	hrn	tal						Avatar of Halbu																																																																																							0
Avatar of Natalya	1				100					2	hrn	flg						Avatar of Natalya																																																																																							0
Avatar of Jamella	1				100					2	hrn	fng						Avatar of Jamella																																																																																							0
Avatar of Larzuk	1				100					2	hrn	qll						Avatar of Larzuk																																																																																							0
Avatar of Anya	1				100					2	hrn	spe						Avatar of Anya																																																																																							0
Avatar of Malah	1				100					2	hrn	hrb						Avatar of Malah																																																																																							0
Avatar of Qual-Kehk	1				100					2	tal	tal						Avatar of Qual-Kehk																																																																																							0
Avatar of Clay Golem	1				100					2	tal	flg						Avatar of Clay Golem																																																																																							0
Avatar of Blood Golem	1				100					2	tal	fng						Avatar of Blood Golem																																																																																							0
Avatar of Iron Golem	1				100					2	tal	qll						Avatar of Iron Golem																																																																																							0
Avatar of Fire Golem	1				100					2	tal	spe						Avatar of Fire Golem																																																																																							0
Avatar of Hydra	1				100					2	tal	hrb						Avatar of Hydra																																																																																							0
Avatar of Decoy	1				100					2	flg	flg						Avatar of Decoy																																																																																							0
Avatar of Blade Sentry	1				100					2	flg	fng						Avatar of Blade Sentry																																																																																							0
Avatar of Inferno Sentry	1				100					2	flg	qll						Avatar of Inferno Sentry																																																																																							0
Avatar of Death Sentry	1				100					2	flg	spe						Avatar of Death Sentry																																																																																							0
Avatar of Raven	1				100					2	flg	hrb						Avatar of Raven																																																																																							0
Avatar of Wolf	1				100					2	fng	fng						Avatar of Wolf																																																																																							0
Avatar of Spirit Barb	1				100					2	fng	qll						Avatar of Spirit Barb																																																																																							0
Avatar of Bear	1				100					2	fng	spe						Avatar of Bear																																																																																							0
Avatar of Werewolf	1				100					2	fng	hrb						Avatar of Werewolf																																																																																							0
Avatar of Werebear	1				100					2	qll	qll						Avatar of Werebear																																																																																							0
Avatar of Chicken	1				100					2	qll	spe						Avatar of Chicken																																																																																							0
Avatar of Rat	1				100					2	qll	hrb						Avatar of Rat																																																																																							0
Avatar of Cow	1				100					2	spe	spe						Avatar of Cow																																																																																							0
Avatar of Camel	1				100					2	spe	hrb						Avatar of Camel																																																																																							0
Avatar of Male Citizen 1	1				100					2	hrb	hrb						Avatar of Male Citizen 1																																																																																							0
Avatar of Female Citizen 1	1				100					3	hrt	hrt	hrt					Avatar of Female Citizen 1																																																																																							0
Avatar of Merchant 1	1				100					3	hrt	hrt	brz					Avatar of Merchant 1																																																																																							0
Avatar of Merchant 2	1				100					3	hrt	hrt	jaw					Avatar of Merchant 2																																																																																							0
Avatar of Bug	1				100					3	hrt	hrt	eyz					Avatar of Bug																																																																																							0
Avatar of Scorpion	1				100					3	hrt	hrt	hrn					Avatar of Scorpion																																																																																							0
Avatar of Larva	1				100					3	hrt	hrt	tal					Avatar of Larva																																																																																							0
Avatar of Male Citizen 2	1				100					3	hrt	hrt	flg					Avatar of Male Citizen 2																																																																																							0
Avatar of Female Citizen 2	1				100					3	hrt	hrt	fng					Avatar of Female Citizen 2																																																																																							0
Avatar of Snake	1				100					3	hrt	hrt	qll					Avatar of Snake																																																																																							0
Avatar of Parrot	1				100					3	hrt	hrt	spe					Avatar of Parrot																																																																																							0
Avatar of Spider	1				100					3	hrt	hrt	hrb					Avatar of Spider																																																																																							0
Avatar of Dark Wanderer	1				100					3	hrt	brz	brz					Avatar of Dark Wanderer																																																																																							0
Avatar of Bunny	1				100					3	hrt	brz	jaw					Avatar of Bunny																																																																																							0
Avatar of Dead Barbarian	1				100					3	hrt	brz	eyz					Avatar of Dead Barbarian																																																																																							0
Avatar of Horse	1				100					3	hrt	brz	hrn					Avatar of Horse																																																																																							0
Avatar of Pig	1				100					3	hrt	brz	tal					Avatar of Pig																																																																																							0
Avatar of Seagull	1				100					3	hrt	brz	flg					Avatar of Seagull																																																																																							0
Avatar of LG Guard	1				100					3	hrt	brz	fng					Avatar of LG Guard																																																																																							0
Avatar of Skeleton	1				100					3	hrt	brz	qll					Avatar of Skeleton																																																																																							0
Avatar of Zombie	1				100					3	hrt	brz	spe					Avatar of Zombie																																																																																							0
Avatar of Bighead	1				100					3	hrt	brz	hrb					Avatar of Bighead																																																																																							0
Avatar of Foul Crow	1				100					3	hrt	jaw	jaw					Avatar of Foul Crow																																																																																							0
Avatar of Fallen One	1				100					3	hrt	jaw	eyz					Avatar of Fallen One																																																																																							0
Avatar of Brute	1				100					3	hrt	jaw	hrn					Avatar of Brute																																																																																							0
Avatar of Sand Raider	1				100					3	hrt	jaw	tal					Avatar of Sand Raider																																																																																							0
Avatar of Wraith	1				100					3	hrt	jaw	flg					Avatar of Wraith																																																																																							0
Avatar of Corrupt Rogue	1				100					3	hrt	jaw	fng					Avatar of Corrupt Rogue																																																																																							0
Avatar of Baboon	1				100					3	hrt	jaw	qll					Avatar of Baboon																																																																																							0
Avatar of Goatman	1				100					3	hrt	jaw	spe					Avatar of Goatman																																																																																							0
Avatar of Fallen Shaman	1				100					3	hrt	jaw	hrb					Avatar of Fallen Shaman																																																																																							0
Avatar of Quill Rat	1				100					3	hrt	eyz	eyz					Avatar of Quill Rat																																																																																							0
Avatar of Sand Maggot	1				100					3	hrt	eyz	hrn					Avatar of Sand Maggot																																																																																							0
Avatar of Claw Viper	1				100					3	hrt	eyz	tal					Avatar of Claw Viper																																																																																							0
Avatar of Sand Leaper	1				100					3	hrt	eyz	flg					Avatar of Sand Leaper																																																																																							0
Avatar of Panther Woman	1				100					3	hrt	eyz	fng					Avatar of Panther Woman																																																																																							0
Avatar of Swarm	1				100					3	hrt	eyz	qll					Avatar of Swarm																																																																																							0
Avatar of Scarab	1				100					3	hrt	eyz	spe					Avatar of Scarab																																																																																							0
Avatar of Mummy	1				100					3	hrt	eyz	hrb					Avatar of Mummy																																																																																							0
Avatar of Unraveller	1				100					3	hrt	hrn	hrn					Avatar of Unraveller																																																																																							0
Avatar of Vulture	1				100					3	hrt	hrn	tal					Avatar of Vulture																																																																																							0
Avatar of Mosquito	1				100					3	hrt	hrn	flg					Avatar of Mosquito																																																																																							0
Avatar of Willowisp	1				100					3	hrt	hrn	fng					Avatar of Willowisp																																																																																							0
Avatar of Arachnid	1				100					3	hrt	hrn	qll					Avatar of Arachnid																																																																																							0
Avatar of Thorn Hulk	1				100					3	hrt	hrn	spe					Avatar of Thorn Hulk																																																																																							0
Avatar of Vampire	1				100					3	hrt	hrn	hrb					Avatar of Vampire																																																																																							0
Avatar of Bat Demon	1				100					3	hrt	tal	tal					Avatar of Bat Demon																																																																																							0
Avatar of Fetish	1				100					3	hrt	tal	flg					Avatar of Fetish																																																																																							0
Avatar of Dark Ranger	1				100					3	hrt	tal	fng					Avatar of Dark Ranger																																																																																							0
Avatar of Dark Lancer	1				100					3	hrt	tal	qll					Avatar of Dark Lancer																																																																																							0
Avatar of Skeleton Archer	1				100					3	hrt	tal	spe					Avatar of Skeleton Archer																																																																																							0
Avatar of Maggot Baby	1				100					3	hrt	tal	hrb					Avatar of Maggot Baby																																																																																							0
Avatar of Blunder Bore	1				100					3	hrt	flg	flg					Avatar of Blunder Bore																																																																																							0
Avatar of Bone Fetish	1				100					3	hrt	flg	fng					Avatar of Bone Fetish																																																																																							0
Avatar of Maggot	1				100					3	hrt	flg	qll					Avatar of Maggot																																																																																							0
Avatar of Scimitar	1				100					3	hrt	flg	spe					Avatar of Scimitar																																																																																							0
Avatar of Zealot	1				100					3	hrt	flg	hrb					Avatar of Zealot																																																																																							0
Avatar of Cantor	1				100					3	hrt	fng	fng					Avatar of Cantor																																																																																							0
Avatar of Frog Demon	1				100					3	hrt	fng	qll					Avatar of Frog Demon																																																																																							0
Avatar of Swamp Tentacle	1				100					3	hrt	fng	spe					Avatar of Swamp Tentacle																																																																																							0
Avatar of Swamp Serpent	1				100					3	hrt	fng	hrb					Avatar of Swamp Serpent																																																																																							0
Avatar of Gargoyle Trap	1				100					3	hrt	qll	qll					Avatar of Gargoyle Trap																																																																																							0
Avatar of Poison Skeleton	1				100					3	hrt	qll	spe					Avatar of Poison Skeleton																																																																																							0
Avatar of Fetish Shaman	1				100					3	hrt	qll	hrb					Avatar of Fetish Shaman																																																																																							0
Avatar of Vile Mother	1				100					3	hrt	spe	spe					Avatar of Vile Mother																																																																																							0
Avatar of Vile Child	1				100					3	hrt	spe	hrb					Avatar of Vile Child																																																																																							0
Avatar of Finger Mage	1				100					3	hrt	hrb	hrb					Avatar of Finger Mage																																																																																							0
Avatar of Regurgitator	1				100					3	brz	brz	brz					Avatar of Regurgitator																																																																																							0
Avatar of Doom Knight	1				100					3	brz	brz	jaw					Avatar of Doom Knight																																																																																							0
Avatar of Necro Mage	1				100					3	brz	brz	eyz					Avatar of Necro Mage																																																																																							0
Avatar of Invisible One	1				100					3	brz	brz	hrn					Avatar of Invisible One																																																																																							0
Avatar of Slinger	1				100					3	brz	brz	tal					Avatar of Slinger																																																																																							0
Avatar of Cold Skeleton	1				100					3	brz	brz	flg					Avatar of Cold Skeleton																																																																																							0
Avatar of Fire Skeleton	1				100					3	brz	brz	fng					Avatar of Fire Skeleton																																																																																							0
Avatar of Light Skeleton	1				100					3	brz	brz	qll					Avatar of Light Skeleton																																																																																							0
Avatar of Hell Bovine	1				100					3	brz	brz	spe					Avatar of Hell Bovine																																																																																							0
Avatar of Fetish Blower	1				100					3	brz	brz	hrb					Avatar of Fetish Blower																																																																																							0
Avatar of Spirit	1				100					3	brz	jaw	jaw					Avatar of Spirit																																																																																							0
Avatar of Trapped Soul	1				100					3	brz	jaw	eyz					Avatar of Trapped Soul																																																																																							0
Avatar of Reanimated Horde	1				100					3	brz	jaw	hrn					Avatar of Reanimated Horde																																																																																							0
Avatar of Siege Beast	1				100					3	brz	jaw	tal					Avatar of Siege Beast																																																																																							0
Avatar of Snow Yeti	1				100					3	brz	jaw	flg					Avatar of Snow Yeti																																																																																							0
Avatar of Minion	1				100					3	brz	jaw	fng					Avatar of Minion																																																																																							0
Avatar of Minion Suicider	1				100					3	brz	jaw	qll					Avatar of Minion Suicider																																																																																							0
Avatar of Succubus	1				100					3	brz	jaw	spe					Avatar of Succubus																																																																																							0
Avatar of Witch	1				100					3	brz	jaw	hrb					Avatar of Witch																																																																																							0
Avatar of Overseer	1				100					3	brz	eyz	eyz					Avatar of Overseer																																																																																							0
Avatar of Imp	1				100					3	brz	eyz	hrn					Avatar of Imp																																																																																							0
Avatar of Frozen Horror	1				100					3	brz	eyz	tal					Avatar of Frozen Horror																																																																																							0
Avatar of Blood Lord	1				100					3	brz	eyz	flg					Avatar of Blood Lord																																																																																							0
Avatar of Death Mauler	1				100					3	brz	eyz	fng					Avatar of Death Mauler																																																																																							0
Avatar of Putrid Defiler	1				100					3	brz	eyz	qll					Avatar of Putrid Defiler																																																																																							0
Avatar of Pain Worm	1				100					3	brz	eyz	spe					Avatar of Pain Worm																																																																																							0
Avatar of Baal Tentacle	1				100					3	brz	eyz	hrb					Avatar of Baal Tentacle																																																																																							0
Avatar of Venom Lord	1				100					3	brz	hrn	hrn					Avatar of Venom Lord																																																																																							0
Avatar of Speed	1				100					3	brz	hrn	tal					Avatar of Speed																																																																																							0
Avatar of Ancient Statue	1				100					3	brz	hrn	flg					Avatar of Ancient Statue																																																																																							0
Avatar of Wall	1				100					3	brz	hrn	fng					Avatar of Wall																																																																																							0
Avatar of Catapult	1				100					3	brz	hrn	qll					Avatar of Catapult																																																																																							0
Avatar of Minion Spawner	1				100					3	brz	hrn	spe					Avatar of Minion Spawner																																																																																							0
Avatar of Baricade Door	1				100					3	brz	hrn	hrb					Avatar of Baricade Door																																																																																							0
Avatar of Prison Door	1				100					3	brz	tal	tal					Avatar of Prison Door																																																																																							0
Avatar of Tower	1				100					3	brz	tal	flg					Avatar of Tower																																																																																							0
Avatar of Melee Trap	1				100					3	brz	tal	fng					Avatar of Melee Trap																																																																																							0
Avatar of Turret	1				100					3	brz	tal	qll					Avatar of Turret																																																																																							0
Avatar of Bone Prison	1				100					3	brz	tal	spe					Avatar of Bone Prison																																																																																							0
Avatar of Bone Wall	1				100					3	brz	tal	hrb					Avatar of Bone Wall																																																																																							0
Avatar of Bird	1				100					3	brz	flg	flg					Avatar of Bird																																																																																							0
Avatar of Bat	1				100					3	brz	flg	fng					Avatar of Bat																																																																																							0
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
